appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
South-West,South-West,Law_of_tort,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-South,South-South,Trespassing,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
North-West,North-West,Law_of_tort,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-South,South-South,Election_petition,Payment_damages,-1,-1,-1,2,0,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,0,0,0,1,2,-1,0,0,0,Dismissed
North-West,Missing,Murder_manslaughter,Death,0,0,0,6,6,0,0,0,0,Dismissed
North-Central,North-Central,Unlawful_termination_appointment,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,North-Central,Dispute,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,6,0,0,Dismissed
South-East,Missing,Court_order_violation,Payment_damages,0,0,0,5,5,0,0,0,0,Granted
Missing,Missing,Dispute,Payment_damages,-1,-1,-1,2,2,0,0,0,0,Dismissed
South-South,Missing,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
FCT,North-Central,Theft,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,South-South,Conspiracy,Missing,0,0,0,1,1,0,5,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Prison_term,1,1,0,1,1,0,0,0,0,Dismissed
FCT,Missing,Conspiracy,Prison_term,0,0,0,-1,-1,-1,0,0,0,Dismissed
South-West,Missing,Armed_robbery,Prison_term,1,1,0,-1,-1,-1,0,0,0,Dismissed
Missing,North-West,Murder_manslaughter,Death,0,0,0,1,1,0,7,0,0,Granted
North-West,North-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-East,North-East,Murder_manslaughter,Death,0,0,0,1,1,0,1,0,1,Granted
Missing,FCT,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Granted
Missing,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,North-Central,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,5,0,4,Granted
Missing,Missing,Theft,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Payment_damages,-1,-1,-1,1,0,1,0,0,0,Dismissed
Missing,Missing,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
South-West,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Others,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Armed_robbery,Death,0,0,0,4,4,0,5,0,4,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,1,1,0,5,0,0,Dismissed
South-West,South-West,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Conspiracy,Prison_term,3,3,3,1,1,0,0,0,0,Granted
Missing,Missing,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,1,1,0,-1,-1,0,Granted
Missing,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
North-West,Missing,Civil_petition,Payment_damages,-1,-1,-1,-1,1,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Others,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
South-West,South-West,Dispute,Appeal_granted,-1,-1,-1,2,-1,-1,-1,-1,-1,Granted
South-West,Missing,Unlawful_possession,Appeal_granted,-1,-1,-1,2,-1,-1,-1,-1,-1,Granted
South-West,South-West,Unlawful_possession,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Others,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Civil_petition,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Civil_petition,Payment_damages,-1,-1,-1,13,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Unlawful_possession,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,Missing,Court_order_violation,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Human_rights_violation,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Trespassing,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Armed_robbery,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
South-West,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,0,5,0,0,Dismissed
South-West,Missing,Others,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
FCT,North-Central,Missing,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,0,4,0,0,Granted
Missing,South-South,Theft,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,Missing,Election_petition,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-East,South-West,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,North-Central,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,North-Central,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Theft,Prison_term_fine,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Appeal_granted,-1,-1,-1,2,-1,-1,-1,-1,-1,Granted
Missing,South-West,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,Missing,Theft,Payment_damages,-1,-1,-1,3,-1,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Human_rights_violation,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Fraud_impersonation,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Civil_petition,Appeal_granted,-1,-1,-1,2,-1,0,0,0,0,Granted
Missing,South-West,Others,Payment_damages,-1,-1,-1,2,-1,0,0,0,0,Dismissed
Missing,South-West,Unlawful_termination_appointment,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Armed_robbery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,Missing,Armed_robbery,Death,-1,-1,-1,1,1,0,0,4,6,Dismissed
Missing,Missing,Claim_for_recovery,Payment_damages,-1,-1,-1,1,-1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Appeal_granted,-1,-1,-1,1,-1,0,1,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,-1,-1,-1,1,-1,0,0,0,2,Dismissed
South-South,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,4,0,Dismissed
Missing,Missing,Theft,Payment_damages,-1,-1,-1,3,-1,0,0,0,0,Dismissed
Missing,South-West,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Others,Appeal_granted,-1,-1,-1,-1,-1,0,0,0,0,Granted
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,-1,-1,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Payment_damages,-1,-1,-1,-1,-1,0,0,0,0,Dismissed
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
South-West,Missing,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Others,Appeal_granted,-1,-1,-1,1,-1,0,0,0,0,Granted
South-West,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Armed_robbery,Prison_term,-1,-1,-1,1,1,0,0,1,0,Dismissed
Missing,Missing,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,0,2,0,Dismissed
Missing,Missing,Theft,Appeal_granted,-1,-1,-1,-1,-1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,0,2,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,-1,-1,-1,-1,1,0,0,0,0,Granted
Missing,South-West,Law_of_tort,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Others,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,North-West,Theft,Appeal_granted,-1,-1,-1,5,-1,-1,0,0,0,Granted
Missing,Missing,Fraud_impersonation,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Dispute,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Murder_manslaughter,Payment_damages,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,Missing,Theft,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
South-West,South-West,Others,Payment_damages,-1,-1,-1,3,-1,-1,0,0,0,Dismissed
South-West,South-West,Unlawful_termination_appointment,Appeal_granted,-1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Unlawful_possession,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Unlawful_possession,Appeal_granted,-1,-1,-1,5,-1,-1,0,0,0,Granted
Missing,Missing,Missing,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,FCT,Others,Payment_damages,-1,-1,-1,2,-1,-1,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-South,South-West,Dispute,Payment_damages,-1,-1,-1,3,-1,-1,0,0,0,Dismissed
Missing,South-West,Curroption_abuse_office,Prison_term,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,19,0,2,Dismissed
South-West,Missing,Others,Payment_damages,-1,-1,-1,13,-1,-1,6,0,0,Dismissed
South-West,Missing,Theft,Payment_damages,-1,-1,-1,2,-1,-1,-1,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,-1,-1,-1,1,0,1,1,0,0,Dismissed
Missing,Missing,Unlawful_possession,Appeal_granted,-1,-1,-1,1,-1,-1,-1,0,0,Granted
Missing,Missing,Others,Payment_damages,-1,-1,-1,-1,-1,-1,3,0,0,Dismissed
Missing,Missing,Rape_sexual_abuse,Prison_term,-1,-1,-1,-1,-1,-1,-1,0,0,Granted
Missing,South-West,Theft,Prison_term,-1,-1,-1,2,-1,-1,-1,0,0,Granted
North-West,South-West,Missing,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,0,0,Granted
South-West,South-West,Theft,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,0,0,Granted
South-West,South-West,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,0,0,Dismissed
South-South,South-West,Civil_petition,Payment_damages,-1,-1,-1,4,-1,-1,-1,0,0,Dismissed
Missing,Missing,Theft,Payment_damages,-1,-1,-1,1,1,0,-1,0,0,Dismissed
Missing,South-West,Dispute,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,0,0,Granted
Missing,South-West,Law_of_tort,Payment_damages,-1,-1,-1,1,1,-1,-1,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,-1,-1,-1,1,1,0,-1,0,0,Dismissed
South-West,South-West,Theft,Appeal_granted,-1,-1,-1,1,1,0,-1,0,0,Granted
Missing,South-West,Others,Appeal_granted,-1,-1,-1,-1,-1,0,-1,0,0,Dismissed
South-West,Missing,Dispute,Payment_damages,-1,-1,-1,1,1,0,-1,0,0,Dismissed
Missing,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,1,1,0,-1,0,0,Granted
Missing,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,1,1,0,-1,0,0,Dismissed
Missing,Missing,Unlawful_possession,Appeal_granted,-1,-1,-1,1,1,0,-1,0,0,Granted
South-West,South-West,Unlawful_possession,Payment_damages,-1,-1,-1,1,1,0,-1,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,-1,-1,-1,-1,-1,0,5,0,0,Dismissed
South-West,Missing,Theft,Payment_damages,-1,-1,-1,-1,-1,0,-1,0,0,Dismissed
South-West,Missing,Human_rights_violation,Payment_damages,-1,-1,-1,1,-1,0,-1,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,-1,0,0,Dismissed
Missing,South-West,Court_order_violation,Payment_damages,-1,-1,-1,3,3,0,-1,0,0,Dismissed
Missing,Missing,Election_petition,Payment_damages,-1,-1,-1,-1,-1,-1,-1,0,0,Dismissed
South-West,South-West,Election_petition,Payment_damages,-1,-1,-1,1,1,0,-1,0,0,Dismissed
Missing,North-West,Dispute,Payment_damages,-1,-1,-1,1,1,0,-1,0,0,Granted
Missing,North-West,Dispute,Appeal_granted,-1,-1,-1,1,1,0,-1,0,0,Granted
Missing,Missing,Fraud_impersonation,Prison_term,-1,-1,-1,1,1,0,-1,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,-1,-1,-1,3,-1,-1,-1,0,0,Dismissed
Missing,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,2,-1,-1,-1,0,0,Dismissed
Missing,Missing,Unlawful_possession,Appeal_granted,-1,-1,-1,1,-1,-1,-1,0,0,Granted
Missing,Missing,Theft,Appeal_granted,-1,-1,-1,1,1,0,-1,0,0,Dismissed
Missing,South-West,Trespassing,Appeal_granted,-1,-1,-1,1,1,-1,-1,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Prison_term,-1,-1,-1,1,0,1,-1,10,0,Dismissed
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,1,-1,-1,-1,0,0,Granted
